model,device,ctx,H3_maxb@100ms,H3_tps,H3_tpot_p50,H3_tpot_p99,SpaKV_maxb,SpaKV_tps,SpaKV_tpot_p50,SpaKV_tpot_p99,tps_speedup,energy_speedup
Phi-2,a40,4096,128,233.13,34.44,34.44,128,233.13,34.44,34.44,1.000,3.168
Phi-2,a40,8192,64,233.13,34.44,34.44,64,233.13,34.44,34.44,1.000,4.419
Phi-2,a40,16384,32,233.13,34.44,34.44,32,233.13,34.44,34.44,1.000,5.795
Phi-2,a40,32768,16,124.99,64.13,64.13,16,233.13,34.44,34.44,1.865,6.999
Phi-2,a40,65536,2,125.10,46.78,64.07,8,233.13,34.44,34.44,1.863,4.264
Phi-2,a40,131072,1,76.18,65.76,105.14,4,189.03,39.93,42.45,2.481,4.517
Phi-2,a40,262144,,,,,2,125.10,46.78,64.07,,
Phi-2,a40,524288,,,,,1,76.18,65.76,105.14,,
Phi-2,a100,4096,128,535.55,15.07,15.07,128,535.94,15.05,15.05,1.001,3.610
Phi-2,a100,8192,64,535.94,15.05,15.05,64,535.94,15.05,15.05,1.000,4.922
Phi-2,a100,16384,32,535.94,15.05,15.05,32,535.94,15.05,15.05,1.000,6.232
Phi-2,a100,32768,16,470.42,17.13,17.13,16,535.94,15.05,15.05,1.139,7.278
Phi-2,a100,65536,4,243.66,30.96,32.96,8,535.94,15.05,15.05,2.200,5.074
Phi-2,a100,131072,2,123.36,46.95,64.98,4,345.49,21.88,23.28,2.801,5.314
Phi-2,a100,262144,1,62.43,80.21,128.26,2,175.62,33.08,45.68,2.813,5.445
Phi-2,a100,524288,,,,,1,164.97,30.44,48.62,,
Phi-2,h100,4096,128,1010.88,7.49,8.04,128,1010.88,7.49,8.04,1.000,6.076
Phi-2,h100,8192,64,1010.86,7.49,8.04,64,1010.86,7.49,8.04,1.000,7.164
Phi-2,h100,16384,32,1010.86,7.49,8.04,32,1010.86,7.49,8.04,1.000,7.904
Phi-2,h100,32768,16,455.70,15.65,17.68,16,1010.86,7.49,8.04,2.218,8.344
Phi-2,h100,65536,4,245.88,30.66,32.66,8,676.83,11.25,11.95,2.753,5.432
Phi-2,h100,131072,2,123.92,46.66,64.68,4,349.97,21.59,22.99,2.824,5.507
Phi-2,h100,262144,1,62.43,80.21,128.26,2,176.77,32.79,45.38,2.831,5.545
Phi-2,h100,524288,,,,,1,270.98,18.58,29.65,,
Phi-2,h200,4096,128,1015.41,7.46,8.01,128,1015.41,7.46,8.01,1.000,5.780
Phi-2,h200,8192,64,1015.41,7.46,8.01,64,1015.41,7.46,8.01,1.000,6.804
Phi-2,h200,16384,32,1015.41,7.46,8.01,32,1015.41,7.46,8.01,1.000,7.500
Phi-2,h200,32768,16,1015.41,7.46,8.01,16,1015.41,7.46,8.01,1.000,7.914
Phi-2,h200,65536,8,163.24,43.17,49.14,8,1015.41,7.46,8.01,6.220,8.141
Phi-2,h200,131072,4,83.49,89.99,95.95,4,684.19,11.20,11.82,8.195,8.261
Phi-2,h200,262144,1,273.17,18.43,29.41,2,450.23,13.09,17.90,1.648,6.028
Phi-2,h200,524288,,,,,1,273.17,18.43,29.41,,
Mistral-7B,a40,4096,128,533.81,15.11,15.11,128,533.81,15.11,15.11,1.000,1.341
Mistral-7B,a40,8192,128,451.80,17.83,17.83,128,451.80,17.83,17.83,1.000,1.796
Mistral-7B,a40,16384,64,352.20,22.84,22.84,64,352.20,22.84,22.84,1.000,2.429
Mistral-7B,a40,32768,32,352.20,22.84,22.84,32,352.20,22.84,22.84,1.000,3.346
Mistral-7B,a40,65536,16,151.46,52.95,52.95,16,352.20,22.84,22.84,2.325,4.442
Mistral-7B,a40,131072,4,76.89,97.77,104.17,8,352.20,22.84,22.84,4.581,4.874
Mistral-7B,a40,262144,1,83.20,60.23,96.28,4,237.80,31.93,33.77,2.858,4.125
Mistral-7B,a40,524288,,,,,2,144.10,40.59,55.65,,
Mistral-7B,a40,1048576,,,,,1,83.20,60.23,96.28,,
Mistral-7B,a100,4096,128,533.31,15.13,15.13,128,533.31,15.13,15.13,1.000,1.276
Mistral-7B,a100,8192,128,451.30,17.85,17.85,128,451.30,17.85,17.85,1.000,1.962
Mistral-7B,a100,16384,64,351.89,22.86,22.86,64,351.89,22.86,22.86,1.000,2.668
Mistral-7B,a100,32768,32,351.89,22.86,22.86,32,351.89,22.86,22.86,1.000,3.618
Mistral-7B,a100,65536,16,351.89,22.86,22.86,16,351.89,22.86,22.86,1.000,4.650
Mistral-7B,a100,131072,8,83.15,96.34,96.34,8,351.89,22.86,22.86,4.232,5.543
Mistral-7B,a100,262144,2,143.97,40.63,55.70,4,237.56,31.96,33.80,1.650,3.895
Mistral-7B,a100,524288,1,83.10,60.30,96.40,2,143.97,40.63,55.70,1.732,4.112
Mistral-7B,a100,1048576,,,,,1,83.10,60.30,96.40,,
Mistral-7B,h100,4096,128,533.95,15.11,15.11,128,533.95,15.11,15.11,1.000,1.852
Mistral-7B,h100,8192,128,452.57,17.80,17.80,128,452.57,17.80,17.80,1.000,3.488
Mistral-7B,h100,16384,64,352.23,22.84,22.84,64,352.23,22.84,22.84,1.000,4.523
Mistral-7B,h100,32768,32,352.23,22.84,22.84,32,352.23,22.84,22.84,1.000,5.444
Mistral-7B,h100,65536,16,352.23,22.84,22.84,16,352.23,22.84,22.84,1.000,6.110
Mistral-7B,h100,131072,8,83.15,96.34,96.34,8,352.23,22.84,22.84,4.236,6.524
Mistral-7B,h100,262144,2,144.11,40.59,55.64,4,237.76,31.93,33.77,1.650,4.222
Mistral-7B,h100,524288,1,83.23,60.20,96.25,2,144.11,40.59,55.64,1.731,4.291
Mistral-7B,h100,1048576,,,,,1,83.23,60.20,96.25,,
Mistral-7B,h200,4096,128,540.70,14.92,14.92,128,540.70,14.92,14.92,1.000,1.966
Mistral-7B,h200,8192,128,457.01,17.63,17.63,128,457.01,17.63,17.63,1.000,2.998
Mistral-7B,h200,16384,128,354.82,22.67,22.67,128,354.82,22.67,22.67,1.000,5.517
Mistral-7B,h200,32768,64,354.82,22.67,22.67,64,354.82,22.67,22.67,1.000,6.559
Mistral-7B,h200,65536,32,354.82,22.67,22.67,32,354.82,22.67,22.67,1.000,7.283
Mistral-7B,h200,131072,16,354.82,22.67,22.67,16,354.82,22.67,22.67,1.000,7.720
Mistral-7B,h200,262144,4,240.11,31.62,33.44,8,354.82,22.67,22.67,1.478,4.817
Mistral-7B,h200,524288,2,135.34,43.03,59.24,4,214.56,35.17,37.41,1.585,4.887
Mistral-7B,h200,1048576,1,69.42,72.15,115.36,2,109.46,53.08,73.22,1.577,4.923
Llama-3-8B,a40,4096,128,540.29,14.93,14.93,128,540.29,14.93,14.93,1.000,1.306
Llama-3-8B,a40,8192,128,456.43,17.66,17.66,128,456.43,17.66,17.66,1.000,1.710
Llama-3-8B,a40,16384,64,355.01,22.66,22.66,64,355.01,22.66,22.66,1.000,2.287
Llama-3-8B,a40,32768,32,355.01,22.66,22.66,32,355.01,22.66,22.66,1.000,3.139
Llama-3-8B,a40,65536,16,144.32,55.56,55.56,16,355.01,22.66,22.66,2.460,4.186
Llama-3-8B,a40,131072,2,145.83,40.11,54.99,8,355.01,22.66,22.66,2.434,3.743
Llama-3-8B,a40,262144,1,84.32,59.43,95.01,4,240.22,31.61,33.43,2.849,4.268
Llama-3-8B,a40,524288,,,,,2,145.83,40.11,54.99,,
Llama-3-8B,a40,1048576,,,,,1,84.32,59.43,95.01,,
Llama-3-8B,a100,4096,128,533.47,15.12,15.12,128,533.47,15.12,15.12,1.000,1.253
Llama-3-8B,a100,8192,128,452.13,17.82,17.82,128,452.13,17.82,17.82,1.000,1.862
Llama-3-8B,a100,16384,64,351.92,22.86,22.86,64,351.92,22.86,22.86,1.000,2.510
Llama-3-8B,a100,32768,32,351.92,22.86,22.86,32,351.92,22.86,22.86,1.000,3.400
Llama-3-8B,a100,65536,16,351.92,22.86,22.86,16,351.92,22.86,22.86,1.000,4.393
Llama-3-8B,a100,131072,8,80.94,98.97,98.97,8,351.92,22.86,22.86,4.348,5.274
Llama-3-8B,a100,262144,2,143.97,40.63,55.70,4,237.44,31.98,33.82,1.649,3.889
Llama-3-8B,a100,524288,1,83.12,60.28,96.38,2,143.97,40.63,55.70,1.732,4.122
Llama-3-8B,a100,1048576,,,,,1,83.12,60.28,96.38,,
Llama-3-8B,h100,4096,128,540.38,14.93,14.93,128,540.38,14.93,14.93,1.000,1.788
Llama-3-8B,h100,8192,128,456.83,17.64,17.64,128,456.83,17.64,17.64,1.000,3.277
Llama-3-8B,h100,16384,64,354.95,22.67,22.67,64,354.95,22.67,22.67,1.000,4.269
Llama-3-8B,h100,32768,32,354.95,22.67,22.67,32,354.95,22.67,22.67,1.000,5.175
Llama-3-8B,h100,65536,16,354.95,22.67,22.67,16,354.95,22.67,22.67,1.000,5.844
Llama-3-8B,h100,131072,8,80.95,98.95,98.95,8,354.95,22.67,22.67,4.385,6.266
Llama-3-8B,h100,262144,2,145.81,40.12,54.99,4,240.30,31.60,33.42,1.648,4.241
Llama-3-8B,h100,524288,1,84.36,59.40,94.96,2,145.81,40.12,54.99,1.729,4.316
Llama-3-8B,h100,1048576,,,,,1,84.36,59.40,94.96,,
Llama-3-8B,h200,4096,128,533.92,15.11,15.11,128,533.92,15.11,15.11,1.000,1.855
Llama-3-8B,h200,8192,128,452.37,17.81,17.81,128,452.37,17.81,17.81,1.000,2.832
Llama-3-8B,h200,16384,128,351.98,22.86,22.86,128,351.98,22.86,22.86,1.000,5.231
Llama-3-8B,h200,32768,64,351.98,22.86,22.86,64,351.98,22.86,22.86,1.000,6.286
Llama-3-8B,h200,65536,32,351.98,22.86,22.86,32,351.98,22.86,22.86,1.000,7.037
Llama-3-8B,h200,131072,16,351.98,22.86,22.86,16,351.98,22.86,22.86,1.000,7.498
Llama-3-8B,h200,262144,4,224.78,33.59,35.72,8,351.98,22.86,22.86,1.566,4.803
Llama-3-8B,h200,524288,2,114.85,50.62,69.78,4,214.45,35.20,37.43,1.867,4.880
Llama-3-8B,h200,1048576,1,58.70,85.31,136.42,2,109.42,53.10,73.24,1.864,4.920
Mixtral-8x7B,a40,4096,128,533.91,15.11,15.11,128,533.91,15.11,15.11,1.000,1.050
Mixtral-8x7B,a40,8192,128,452.15,17.82,17.82,128,452.15,17.82,17.82,1.000,1.127
Mixtral-8x7B,a40,16384,64,351.89,22.86,22.86,64,351.89,22.86,22.86,1.000,1.257
Mixtral-8x7B,a40,32768,32,262.58,30.59,30.59,32,351.89,22.86,22.86,1.340,1.482
Mixtral-8x7B,a40,65536,16,106.39,75.32,75.32,16,351.89,22.86,22.86,3.307,1.824
Mixtral-8x7B,a40,131072,2,68.79,84.73,116.43,8,351.89,22.86,22.86,5.116,3.026
Mixtral-8x7B,a40,262144,,,,,4,237.58,31.96,33.80,,
Mixtral-8x7B,a40,524288,,,,,2,144.05,40.61,55.66,,
Mixtral-8x7B,a40,1048576,,,,,1,83.23,60.20,96.25,,
Mixtral-8x7B,a100,4096,128,533.81,15.11,15.11,128,533.81,15.11,15.11,1.000,1.064
Mixtral-8x7B,a100,8192,128,452.18,17.82,17.82,128,452.18,17.82,17.82,1.000,1.180
