model,device,num_gpus,batch,ctx,baseline,hbm_frac,simulated,ttft_p50,ttft_p99,tpot_p50,tpot_p99,throughput_tps,flash_stall_ms,note
microsoft/phi-2,a100,8,128,32768,NaiveSparse,0.4501,True,,,,,,,"FAILED: odels
    models[""all_reduce""] = self._train_model(
  File ""/home/adityaan/vidur/vidur/execution_time_predictor/sklearn_execution_time_predictor.py"", line 354, in _train_model
    raise Exception(f""Training data for model {model_name} is empty"")
Exception: Training data for model all_reduce is empty"
microsoft/phi-2,a100,8,128,32768,Dense,0.4501,True,,,,,,,"FAILED: odels
    models[""all_reduce""] = self._train_model(
  File ""/home/adityaan/vidur/vidur/execution_time_predictor/sklearn_execution_time_predictor.py"", line 354, in _train_model
    raise Exception(f""Training data for model {model_name} is empty"")
Exception: Training data for model all_reduce is empty"
microsoft/phi-2,a100,8,64,65536,Dense,0.4501,True,,,,,,,"FAILED: odels
    models[""all_reduce""] = self._train_model(
  File ""/home/adityaan/vidur/vidur/execution_time_predictor/sklearn_execution_time_predictor.py"", line 354, in _train_model
    raise Exception(f""Training data for model {model_name} is empty"")
Exception: Training data for model all_reduce is empty"
microsoft/phi-2,a100,8,64,65536,NaiveSparse,0.4501,True,,,,,,,"FAILED: odels
    models[""all_reduce""] = self._train_model(
  File ""/home/adityaan/vidur/vidur/execution_time_predictor/sklearn_execution_time_predictor.py"", line 354, in _train_model
    raise Exception(f""Training data for model {model_name} is empty"")
Exception: Training data for model all_reduce is empty"
microsoft/phi-2,a100,8,128,32768,Sparse,0.4501,True,,,,,,,"FAILED: odels
    models[""all_reduce""] = self._train_model(
  File ""/home/adityaan/vidur/vidur/execution_time_predictor/sklearn_execution_time_predictor.py"", line 354, in _train_model
    raise Exception(f""Training data for model {model_name} is empty"")
Exception: Training data for model all_reduce is empty"
microsoft/phi-2,a100,8,64,65536,Sparse,0.4501,True,,,,,,,"FAILED: odels
    models[""all_reduce""] = self._train_model(
  File ""/home/adityaan/vidur/vidur/execution_time_predictor/sklearn_execution_time_predictor.py"", line 354, in _train_model
    raise Exception(f""Training data for model {model_name} is empty"")
Exception: Training data for model all_reduce is empty"
microsoft/phi-2,a100,2,128,8192,Sparse,0.4383,True,-54.228452211937125,-1.04538912631754,85.74851709948447,88.31006000785386,1402.6332159803198,0.0,sim 3257s TP=2
microsoft/phi-2,a100,8,32,131072,Dense,0.4501,True,,,,,,,"FAILED: odels
    models[""all_reduce""] = self._train_model(
  File ""/home/adityaan/vidur/vidur/execution_time_predictor/sklearn_execution_time_predictor.py"", line 354, in _train_model
    raise Exception(f""Training data for model {model_name} is empty"")
Exception: Training data for model all_reduce is empty"
microsoft/phi-2,a100,8,32,131072,NaiveSparse,0.4501,True,,,,,,,"FAILED: odels
    models[""all_reduce""] = self._train_model(
  File ""/home/adityaan/vidur/vidur/execution_time_predictor/sklearn_execution_time_predictor.py"", line 354, in _train_model
    raise Exception(f""Training data for model {model_name} is empty"")
Exception: Training data for model all_reduce is empty"
microsoft/phi-2,a100,8,32,131072,Sparse,0.4501,True,,,,,,,"FAILED: odels
    models[""all_reduce""] = self._train_model(
  File ""/home/adityaan/vidur/vidur/execution_time_predictor/sklearn_execution_time_predictor.py"", line 354, in _train_model
    raise Exception(f""Training data for model {model_name} is empty"")
Exception: Training data for model all_reduce is empty"
