model,device,tp,batch,context_length,system,amp,imbalance,tpot_p50_ms,tpot_p99_ms,status,wall_s
meta-llama/Meta-Llama-3-8B,blackwell,8,1,131072,Dense,3.5636,1.9234,13.246823338661823,13.246823338661823,OK,14.2
meta-llama/Meta-Llama-3-8B,blackwell,8,16,131072,Dense,3.5636,1.9234,57.76887169976362,57.76887169976362,OK,14.3
meta-llama/Meta-Llama-3-8B,blackwell,8,2,131072,Dense,3.5636,1.9234,18.590383405372602,18.590383405372602,OK,14.3
meta-llama/Meta-Llama-3-8B,blackwell,8,4,131072,Dense,3.5636,1.9234,24.186863405372602,24.186863405372602,OK,14.4
meta-llama/Meta-Llama-3-8B,blackwell,8,8,131072,Dense,3.5636,1.9234,35.371631405372604,35.371631405372604,OK,14.5
meta-llama/Meta-Llama-3-8B,blackwell,8,24,131072,Dense,3.5636,1.9234,77.36800946310758,82.71361752981836,OK,14.5
meta-llama/Meta-Llama-3-8B,blackwell,8,32,131072,Dense,3.5636,1.9234,94.16614566666568,105.11106380697422,OK,14.7
meta-llama/Meta-Llama-3-8B,blackwell,8,48,131072,Dense,3.5636,1.9234,149.90431914993798,149.90431914993798,OK,15.3
meta-llama/Meta-Llama-3-8B,blackwell,8,64,131072,Dense,3.5636,1.9234,194.70016824964176,194.70016824964176,OK,15.7
meta-llama/Meta-Llama-3-8B,blackwell,8,96,131072,Dense,3.5636,1.9234,280.79467030424826,289.38823043766985,OK,16.9
meta-llama/Meta-Llama-3-8B,blackwell,8,128,131072,Dense,3.5636,1.9234,347.9891658153559,375.7322200856676,OK,19.4
meta-llama/Meta-Llama-3-8B,blackwell,8,192,131072,Dense,3.5636,1.9234,554.9204833775684,554.9204833775684,OK,25.1
meta-llama/Meta-Llama-3-8B,blackwell,8,1,131072,SPLASH,3.5636,1.9234,10.731879338661823,10.731879338661823,OK,14.0
meta-llama/Meta-Llama-3-8B,blackwell,8,2,131072,SPLASH,3.5636,1.9234,13.560495405372603,13.560495405372603,OK,14.2
meta-llama/Meta-Llama-3-8B,blackwell,8,256,131072,Dense,3.5636,1.9234,734.1171916191654,734.1171916191654,OK,32.7
meta-llama/Meta-Llama-3-8B,blackwell,8,4,131072,SPLASH,3.5636,1.9234,14.118895405372601,14.118895405372601,OK,14.2
meta-llama/Meta-Llama-3-8B,blackwell,8,8,131072,SPLASH,3.5636,1.9234,15.243887405372604,15.243887405372604,OK,14.0
meta-llama/Meta-Llama-3-8B,blackwell,8,320,131072,Dense,3.5636,1.9234,913.3242421701209,913.3242421701209,OK,44.0
meta-llama/Meta-Llama-3-8B,blackwell,8,16,131072,SPLASH,3.5636,1.9234,17.505191699763618,17.505191699763618,OK,14.3
meta-llama/Meta-Llama-3-8B,blackwell,8,24,131072,SPLASH,3.5636,1.9234,19.34578546310757,22.314001529818352,OK,14.4
meta-llama/Meta-Llama-3-8B,blackwell,8,32,131072,SPLASH,3.5636,1.9234,21.04811366666568,24.583703806974214,OK,14.3
meta-llama/Meta-Llama-3-8B,blackwell,8,384,131072,Dense,3.5636,1.9234,1069.4357796787992,1095.779713949111,OK,56.9
meta-llama/Meta-Llama-3-8B,blackwell,8,48,131072,SPLASH,3.5636,1.9234,28.051024048716414,31.65641418902495,OK,14.4
meta-llama/Meta-Llama-3-8B,blackwell,8,64,131072,SPLASH,3.5636,1.9234,30.95946880047543,38.737726182850096,OK,15.2
meta-llama/Meta-Llama-3-8B,blackwell,8,96,131072,SPLASH,3.5636,1.9234,41.57366770182801,50.34308011244833,OK,16.2
meta-llama/Meta-Llama-3-8B,blackwell,8,128,131072,SPLASH,3.5636,1.9234,52.75595297376014,61.95122848560204,OK,17.4
meta-llama/Meta-Llama-3-8B,blackwell,8,192,131072,SPLASH,3.5636,1.9234,69.53423423358562,82.62013427495681,OK,21.1
