model,system,tp,kv_read,attn_proj,mlp,kv_write,comm,norms,model_time_ms
Llama-3-8B,H3,8,34.360262656,3.0631166995663244,0.47817085812185534,0.010738,3.263236582726705,2.5320591888192534,43.707583985234145
Llama-3-8B,Naive,8,25.22915018113024,3.0631166995663244,0.47817085812185534,0.010738,3.263236582726705,2.5320591888192534,34.57647151036438
Llama-3-8B,SPLASH,8,24.3605045248,3.0631166995663244,0.47817085812185534,0.010738,3.263236582726705,2.5320591888192534,33.707825854034134
Mixtral-8×7B,H3,8,34.360262656,3.0441519351799617,0.4779296987381846,0.010738,3.263236582726705,2.545551768345699,43.70187064099055
Mixtral-8×7B,Naive,8,24.2360209211392,3.0441519351799617,0.4779296987381846,0.010738,3.263236582726705,2.545551768345699,33.577628906129746
Mixtral-8×7B,SPLASH,8,23.27289856,3.0441519351799617,0.4779296987381846,0.010738,3.263236582726705,2.545551768345699,32.61450654499055
DeepSeek-67B,H3,8,102.00702976,6.483162018092097,2.3954987997177613,0.031906,9.822975762162217,8.556170182913611,129.2967425228857
DeepSeek-67B,Naive,8,54.661625713766405,6.483162018092097,2.3954987997177613,0.031906,9.822975762162217,8.556170182913611,81.9513384766521
DeepSeek-67B,SPLASH,8,29.466608128,6.483162018092097,2.3954987997177613,0.031906,9.822975762162217,8.556170182913611,56.75632089088568
Llama-3-70B,H3,8,85.90065664000001,5.139003198857122,2.4876255679262127,0.026866,8.271979589189236,7.128824838231843,108.95495583420444
Llama-3-70B,Naive,8,43.814915923968,5.139003198857122,2.4876255679262127,0.026866,8.271979589189236,7.128824838231843,66.8692151181724
Llama-3-70B,SPLASH,8,27.754700800000002,5.139003198857122,2.4876255679262127,0.026866,8.271979589189236,7.128824838231843,50.80899999420441
Qwen3-235B,H3,4,100.93327155200001,7.360367901897731,1.7826619729702466,0.03157,9.99537926996647,7.396381122416604,127.49963181925109
Qwen3-235B,Naive,4,62.47438223253504,7.360367901897731,1.7826619729702466,0.03157,9.99537926996647,7.396381122416604,89.04074249978609
Qwen3-235B,SPLASH,4,18.0246867968,7.360367901897731,1.7826619729702466,0.03157,9.99537926996647,7.396381122416604,44.59104706405106
