model,device,batch,context_length,baseline,tp,footprint_gb,sparsity_fraction,tpot_p50_ms,tpot_p99_ms,status,wall_s,hbm_kv_fraction,effective_attention_context,attention_flops_per_output_token,hbm_read_bytes_per_output_token,hbm_write_bytes_per_output_token,hbf_useful_bytes_per_output_token,hbf_physical_bytes_per_output_token,hbf_link_bytes_per_output_token,energy_coefficients_applied,model_weight_bytes,goodput_per_gpu,hbf_resident_kv_bytes,centroid_scan_bytes,selection_scan_bytes,hbf_program_bytes,hbf_array_read_bytes,nma_macs,hbm_bytes_total,e_gpu_board,hbm_diagnostic_j,hbm_fraction_of_board,e_gpu,e_hbf_read,e_hbf_program,e_hbf_erase,e_bridge,e_link,e_nma,e_total
mistralai/Mixtral-8x22B-v0.1,blackwell,128,131072,Sparse,2,4130.3,0.1,61.64911211885047,68.84243655392414,OK,15.4,0.02442642913333,15988.658827427456,11002243821.6,367187500.0,114688.0,1466519803.6,1466519803.6,1466519803.6,False,282000000000,1038.133361541645,14665198035.999998,458287438.62499994,458287438.62499994,945888.3098238163,1924807242.225,229143719.31249997,2937729376.0,0.674287163799927,0.03504711145568,0.051976536611156816,0.674287163799927,0.24637532700479997,0.001210737036574485,0.0005412416323607347,0.005866079214399999,0.0029330396071999996,9.165748772499999e-05,0.9313052457829871
mistralai/Mixtral-8x22B-v0.1,blackwell,128,196608,Sparse,2,6054.4,0.1,73.64801337801423,80.86922776513305,OK,16.2,0.0162842860888867,22542.258827427453,15511959482.399998,367187500.00000006,114688.0,2218139080.4,2218139080.4,2218139080.4,False,282000000000,868.9983214008267,22181390804.0,693168462.625,693168462.625,1014741.221886479,2911307543.025,346584231.3125,2937729376.0,0.8055251463220306,0.03504711145568,0.04350840146419087,0.8055251463220306,0.3726473655072,0.001298868764014693,0.0005806395846670984,0.0088725563216,0.0044362781608,0.000138633692525,1.1934994883528374
Qwen/Qwen3-235B-A22B,blackwell,128,131072,Sparse,4,3699.8,0.1,56.283353415105054,72.40631949389896,OK,36.9,0.0873114913702011,23406.8826171875,18024423145.6,550781250.0,48128.0,575745196.6,575745196.6,575745196.6,False,470000000000,568.5517663453933,5757451966.0,179920373.9375,179920373.9375,253659.25215422455,755665570.5375,89960186.96875,5875192512.0,1.2311983559554232,0.07009104666816,0.05692912626882823,1.2311983559554232,0.1934503860576,0.0006493676855148148,0.0002902899766779608,0.0046059615728,0.0023029807864,7.1968149575e-05,1.432569310183991
mistralai/Mixtral-8x22B-v0.1,blackwell,64,262144,Sparse,2,4130.3,0.1,58.38903486191507,63.34337375552455,OK,8.5,0.02442642913333,31977.317654854916,22004487643.2,734375000.0,114688.0,2933039607.2000003,2933039607.2000003,2933039607.2000003,False,282000000000,548.0481065610552,29330396072.0,916574877.25,916574877.25,945888.3098238163,3849614484.4500003,458287438.625,5875229376.0,1.2772601376043922,0.07009148645567999,0.05487643776869324,1.2772601376043922,0.49275065400960005,0.001210737036574485,0.0005412416323607347,0.0117321584288,0.0058660792144,0.00018331497545,1.7895443229015775
Qwen/Qwen3-235B-A22B,blackwell,128,196608,Sparse,4,5314.7,0.1,60.66199591590506,77.45277612109896,OK,37.8,0.0582076609134674,29960.482617187503,23071009718.4,550781250.0,48128.0,891156857.4,891156857.4,891156857.4,False,470000000000,527.5131409187588,8911568574.0,278486517.9375,278486517.9375,306739.2207716113,1169643375.3375,139243258.96875,5875192512.0,1.3269811606604232,0.07009104666816,0.05281992596886342,1.3269811606604232,0.29942870408640004,0.0007852524051753249,0.0003510351800212226,0.0071292548592,0.0035646274296,0.00011139460717500001,1.6383514292279946
deepseek-ai/deepseek-llm-67b-chat,blackwell,32,131072,Sparse,1,1766.1,0.1,65.2166150194243,65.2166150194243,OK,22.2,0.0330864598876551,17010.237623355264,52952189312.0,1687500000.0,389120.0,4931523664.0,4931523664.0,4931523664.0,False,134000000000,490.67250715893533,49315236640.0,1541101145.0,1541101145.0,2989748.8154529734,6472624809.0,770550572.5,5875389120.0,1.4266134535499067,0.07009339220159999,0.0491327149811909,1.4266134535499067,0.41424798777599997,0.001913439241889903,0.000855373997341053,0.009863047328,0.004931523664,0.0001541101145,1.8585789356716373
Qwen/Qwen3-235B-A22B,blackwell,128,262144,Sparse,4,6929.6,0.1,65.26241967548685,82.48483409137442,OK,38.8,0.0436557456851005,36514.0826171875,28117596291.2,550781250.0,48128.0,1206568518.2,1206568518.2,1206568518.2,False,470000000000,490.3281269545004,12065685182.0,377052661.9375,377052661.9375,340765.45135713177,1583621180.1375,188526330.96875,5875192512.0,1.427615430401275,0.07009104666816,0.049096588041541954,1.427615430401275,0.4054070221152,0.0008723595554742574,0.00038997511065345583,0.0096525481456,0.0048262740728,0.000150821064775,1.8489144304657776
mistralai/Mixtral-8x22B-v0.1,blackwell,64,393216,Sparse,2,6054.4,0.1,70.64463203951509,70.64463203951509,OK,10.2,0.0162842860888867,45084.517654854906,31023918964.799995,734375000.0000001,114688.0,4436278160.799999,4436278160.799999,4436278160.799999,False,282000000000,452.9714300458214,44362781607.99999,1386336925.2499998,1386336925.2499998,1014741.2218864788,5822615086.049999,693168462.6249999,5875229376.0,1.5453513258643925,0.07009148645567999,0.04535634407695241,1.5453513258643925,0.7452947310143999,0.0012988687640146928,0.0005806395846670982,0.017745112643199997,0.008872556321599999,0.00027726738504999996,2.3194205015773246
Qwen/Qwen3-235B-A22B,blackwell,128,393216,Sparse,4,10159.4,0.1,74.83378726935345,92.59477383220307,OK,41.5,0.0291038304567337,49621.28261718751,38210769436.8,550781250.0,48128.0,1837391839.8,1837391839.8,1837391839.8,False,470000000000,427.6143326118268,18373918398.0,574184949.9375,574184949.9375,381854.36467082315,2411576789.7375,287092474.96875,5875192512.0,1.6369890965171068,0.07009104666816,0.04281705163295664,1.6369890965171068,0.6173636581728,0.0009775471735573072,0.0004369976402330282,0.0146991347184,0.0073495673592,0.00022967397997500003,2.2780456755612724
deepseek-ai/deepseek-llm-67b-chat,blackwell,32,196608,Sparse,1,2582.1,0.1,75.4173374514243,75.4173374514243,OK,23.9,0.0220576399251034,23563.837623355263,73353283968.0,1687500000.0,389120.0,7481660496.0,7481660496.0,7481660496.0,False,134000000000,424.3056183282915,74816604960.0,2338018905.0,2338018905.0,3274280.9171511307,9819679401.0,1169009452.5,5875389120.0,1.6497542567499066,0.07009339220159999,0.04248717159832475,1.6497542567499066,0.628459481664,0.002095539786976724,0.0009367792846158402,0.014963320992,0.007481660496,0.0002338018905,2.3039248408639987
