model,device,batch,context_length,baseline,tp,footprint_gb,sparsity_fraction,tpot_p50_ms,tpot_p99_ms,status,wall_s
microsoft/phi-2,blackwell,1,1048576,Dense,,349.0,1.0,,,INFEASIBLE,
microsoft/phi-2,blackwell,1,1048576,Sparse,,349.0,0.1,,,INFEASIBLE,
microsoft/phi-2,blackwell,2,524288,Dense,,349.0,1.0,,,INFEASIBLE,
microsoft/phi-2,blackwell,2,524288,Sparse,,349.0,0.1,,,INFEASIBLE,
microsoft/phi-2,blackwell,2,1048576,Dense,,692.6,1.0,,,INFEASIBLE,
microsoft/phi-2,blackwell,2,1048576,Sparse,,692.6,0.1,,,INFEASIBLE,
microsoft/phi-2,blackwell,4,262144,Dense,,349.0,1.0,,,INFEASIBLE,
microsoft/phi-2,blackwell,4,262144,Sparse,,349.0,0.1,,,INFEASIBLE,
microsoft/phi-2,blackwell,4,524288,Dense,,692.6,1.0,,,INFEASIBLE,
microsoft/phi-2,blackwell,4,524288,Sparse,,692.6,0.1,,,INFEASIBLE,
microsoft/phi-2,blackwell,4,1048576,Dense,,1379.8,1.0,,,INFEASIBLE,
microsoft/phi-2,blackwell,4,1048576,Sparse,,1379.8,0.1,,,INFEASIBLE,
microsoft/phi-2,blackwell,8,131072,Dense,,349.0,1.0,,,INFEASIBLE,
microsoft/phi-2,blackwell,8,131072,Sparse,,349.0,0.1,,,INFEASIBLE,
microsoft/phi-2,blackwell,8,262144,Dense,,692.6,1.0,,,INFEASIBLE,
microsoft/phi-2,blackwell,8,262144,Sparse,,692.6,0.1,,,INFEASIBLE,
microsoft/phi-2,blackwell,8,524288,Dense,,1379.8,1.0,,,INFEASIBLE,
microsoft/phi-2,blackwell,8,524288,Sparse,,1379.8,0.1,,,INFEASIBLE,
microsoft/phi-2,blackwell,8,1048576,Dense,,2754.2,1.0,,,INFEASIBLE,
microsoft/phi-2,blackwell,8,1048576,Sparse,,2754.2,0.1,,,INFEASIBLE,
microsoft/phi-2,blackwell,16,65536,Dense,,349.0,1.0,,,INFEASIBLE,
microsoft/phi-2,blackwell,16,65536,Sparse,,349.0,0.1,,,INFEASIBLE,
microsoft/phi-2,blackwell,16,131072,Dense,,692.6,1.0,,,INFEASIBLE,
microsoft/phi-2,blackwell,16,131072,Sparse,,692.6,0.1,,,INFEASIBLE,
microsoft/phi-2,blackwell,16,262144,Dense,,1379.8,1.0,,,INFEASIBLE,
microsoft/phi-2,blackwell,16,262144,Sparse,,1379.8,0.1,,,INFEASIBLE,
microsoft/phi-2,blackwell,16,524288,Dense,,2754.2,1.0,,,INFEASIBLE,
microsoft/phi-2,blackwell,16,524288,Sparse,,2754.2,0.1,,,INFEASIBLE,
microsoft/phi-2,blackwell,16,1048576,Dense,,5503.0,1.0,,,INFEASIBLE,
microsoft/phi-2,blackwell,16,1048576,Sparse,,5503.0,0.1,,,INFEASIBLE,
microsoft/phi-2,blackwell,32,32768,Dense,,349.0,1.0,,,INFEASIBLE,
microsoft/phi-2,blackwell,32,32768,Sparse,,349.0,0.1,,,INFEASIBLE,
microsoft/phi-2,blackwell,32,65536,Dense,,692.6,1.0,,,INFEASIBLE,
microsoft/phi-2,blackwell,32,65536,Sparse,,692.6,0.1,,,INFEASIBLE,
microsoft/phi-2,blackwell,32,131072,Dense,,1379.8,1.0,,,INFEASIBLE,
microsoft/phi-2,blackwell,32,131072,Sparse,,1379.8,0.1,,,INFEASIBLE,
microsoft/phi-2,blackwell,32,262144,Dense,,2754.2,1.0,,,INFEASIBLE,
microsoft/phi-2,blackwell,32,262144,Sparse,,2754.2,0.1,,,INFEASIBLE,
microsoft/phi-2,blackwell,32,524288,Dense,,5503.0,1.0,,,INFEASIBLE,
microsoft/phi-2,blackwell,32,524288,Sparse,,5503.0,0.1,,,INFEASIBLE,
microsoft/phi-2,blackwell,32,1048576,Dense,,11000.5,1.0,,,INFEASIBLE,
microsoft/phi-2,blackwell,32,1048576,Sparse,,11000.5,0.1,,,INFEASIBLE,
microsoft/phi-2,blackwell,64,16384,Dense,,349.0,1.0,,,INFEASIBLE,
microsoft/phi-2,blackwell,64,16384,Sparse,,349.0,0.1,,,INFEASIBLE,
microsoft/phi-2,blackwell,64,32768,Dense,,692.6,1.0,,,INFEASIBLE,
microsoft/phi-2,blackwell,64,32768,Sparse,,692.6,0.1,,,INFEASIBLE,
microsoft/phi-2,blackwell,64,65536,Dense,,1379.8,1.0,,,INFEASIBLE,
microsoft/phi-2,blackwell,64,65536,Sparse,,1379.8,0.1,,,INFEASIBLE,
microsoft/phi-2,blackwell,64,131072,Dense,,2754.2,1.0,,,INFEASIBLE,
microsoft/phi-2,blackwell,64,131072,Sparse,,2754.2,0.1,,,INFEASIBLE,
microsoft/phi-2,blackwell,64,262144,Dense,,5503.0,1.0,,,INFEASIBLE,
microsoft/phi-2,blackwell,64,262144,Sparse,,5503.0,0.1,,,INFEASIBLE,
microsoft/phi-2,blackwell,64,524288,Dense,,11000.5,1.0,,,INFEASIBLE,
microsoft/phi-2,blackwell,64,524288,Sparse,,11000.5,0.1,,,INFEASIBLE,
microsoft/phi-2,blackwell,64,1048576,Dense,,21995.6,1.0,,,INFEASIBLE,
microsoft/phi-2,blackwell,64,1048576,Sparse,,21995.6,0.1,,,INFEASIBLE,
microsoft/phi-2,blackwell,128,8192,Dense,,349.0,1.0,,,INFEASIBLE,
microsoft/phi-2,blackwell,128,8192,Sparse,,349.0,0.1,,,INFEASIBLE,
microsoft/phi-2,blackwell,128,16384,Dense,,692.6,1.0,,,INFEASIBLE,
microsoft/phi-2,blackwell,128,16384,Sparse,,692.6,0.1,,,INFEASIBLE,
microsoft/phi-2,blackwell,128,32768,Dense,,1379.8,1.0,,,INFEASIBLE,
microsoft/phi-2,blackwell,128,32768,Sparse,,1379.8,0.1,,,INFEASIBLE,
microsoft/phi-2,blackwell,128,65536,Dense,,2754.2,1.0,,,INFEASIBLE,
microsoft/phi-2,blackwell,128,65536,Sparse,,2754.2,0.1,,,INFEASIBLE,
microsoft/phi-2,blackwell,128,131072,Dense,,5503.0,1.0,,,INFEASIBLE,
microsoft/phi-2,blackwell,128,131072,Sparse,,5503.0,0.1,,,INFEASIBLE,
microsoft/phi-2,blackwell,128,262144,Dense,,11000.5,1.0,,,INFEASIBLE,
microsoft/phi-2,blackwell,128,262144,Sparse,,11000.5,0.1,,,INFEASIBLE,
microsoft/phi-2,blackwell,128,524288,Dense,,21995.6,1.0,,,INFEASIBLE,
microsoft/phi-2,blackwell,128,524288,Sparse,,21995.6,0.1,,,INFEASIBLE,
microsoft/phi-2,blackwell,128,1048576,Dense,,43985.9,1.0,,,INFEASIBLE,
microsoft/phi-2,blackwell,128,1048576,Sparse,,43985.9,0.1,,,INFEASIBLE,
mistralai/Mistral-7B-v0.1,blackwell,32,1048576,Dense,,4412.5,1.0,,,INFEASIBLE,
mistralai/Mistral-7B-v0.1,blackwell,32,1048576,Sparse,,4412.5,0.1,,,INFEASIBLE,
mistralai/Mistral-7B-v0.1,blackwell,64,524288,Dense,,4412.5,1.0,,,INFEASIBLE,
mistralai/Mistral-7B-v0.1,blackwell,64,524288,Sparse,,4412.5,0.1,,,INFEASIBLE,
mistralai/Mistral-7B-v0.1,blackwell,64,1048576,Dense,,8810.6,1.0,,,INFEASIBLE,
mistralai/Mistral-7B-v0.1,blackwell,64,1048576,Sparse,,8810.6,0.1,,,INFEASIBLE,
mistralai/Mistral-7B-v0.1,blackwell,128,262144,Dense,,4412.5,1.0,,,INFEASIBLE,
mistralai/Mistral-7B-v0.1,blackwell,128,262144,Sparse,,4412.5,0.1,,,INFEASIBLE,
mistralai/Mistral-7B-v0.1,blackwell,128,524288,Dense,,8810.6,1.0,,,INFEASIBLE,
mistralai/Mistral-7B-v0.1,blackwell,128,524288,Sparse,,8810.6,0.1,,,INFEASIBLE,
mistralai/Mistral-7B-v0.1,blackwell,128,1048576,Dense,,17606.7,1.0,,,INFEASIBLE,
mistralai/Mistral-7B-v0.1,blackwell,128,1048576,Sparse,,17606.7,0.1,,,INFEASIBLE,
meta-llama/Meta-Llama-3-8B,blackwell,32,1048576,Dense,,4414.1,1.0,,,INFEASIBLE,
meta-llama/Meta-Llama-3-8B,blackwell,32,1048576,Sparse,,4414.1,0.1,,,INFEASIBLE,
meta-llama/Meta-Llama-3-8B,blackwell,64,524288,Dense,,4414.1,1.0,,,INFEASIBLE,
meta-llama/Meta-Llama-3-8B,blackwell,64,524288,Sparse,,4414.1,0.1,,,INFEASIBLE,
meta-llama/Meta-Llama-3-8B,blackwell,64,1048576,Dense,,8812.2,1.0,,,INFEASIBLE,
meta-llama/Meta-Llama-3-8B,blackwell,64,1048576,Sparse,,8812.2,0.1,,,INFEASIBLE,
meta-llama/Meta-Llama-3-8B,blackwell,128,262144,Dense,,4414.1,1.0,,,INFEASIBLE,
meta-llama/Meta-Llama-3-8B,blackwell,128,262144,Sparse,,4414.1,0.1,,,INFEASIBLE,
meta-llama/Meta-Llama-3-8B,blackwell,128,524288,Dense,,8812.2,1.0,,,INFEASIBLE,
meta-llama/Meta-Llama-3-8B,blackwell,128,524288,Sparse,,8812.2,0.1,,,INFEASIBLE,
meta-llama/Meta-Llama-3-8B,blackwell,128,1048576,Dense,,17608.2,1.0,,,INFEASIBLE,
meta-llama/Meta-Llama-3-8B,blackwell,128,1048576,Sparse,,17608.2,0.1,,,INFEASIBLE,
mistralai/Mixtral-8x7B-v0.1,blackwell,32,1048576,Dense,,4491.4,1.0,,,INFEASIBLE,
mistralai/Mixtral-8x7B-v0.1,blackwell,32,1048576,Sparse,,4491.4,0.1,,,INFEASIBLE,
mistralai/Mixtral-8x7B-v0.1,blackwell,64,524288,Dense,,4491.4,1.0,,,INFEASIBLE,
mistralai/Mixtral-8x7B-v0.1,blackwell,64,524288,Sparse,,4491.4,0.1,,,INFEASIBLE,
mistralai/Mixtral-8x7B-v0.1,blackwell,64,1048576,Dense,,8889.5,1.0,,,INFEASIBLE,
mistralai/Mixtral-8x7B-v0.1,blackwell,64,1048576,Sparse,,8889.5,0.1,,,INFEASIBLE,
mistralai/Mixtral-8x7B-v0.1,blackwell,128,262144,Dense,,4491.4,1.0,,,INFEASIBLE,
mistralai/Mixtral-8x7B-v0.1,blackwell,128,262144,Sparse,,4491.4,0.1,,,INFEASIBLE,
mistralai/Mixtral-8x7B-v0.1,blackwell,128,524288,Dense,,8889.5,1.0,,,INFEASIBLE,
mistralai/Mixtral-8x7B-v0.1,blackwell,128,524288,Sparse,,8889.5,0.1,,,INFEASIBLE,
mistralai/Mixtral-8x7B-v0.1,blackwell,128,1048576,Dense,,17685.6,1.0,,,INFEASIBLE,
mistralai/Mixtral-8x7B-v0.1,blackwell,128,1048576,Sparse,,17685.6,0.1,,,INFEASIBLE,
deepseek-ai/deepseek-llm-67b-chat,blackwell,8,1048576,Dense,,3398.2,1.0,,,INFEASIBLE,
deepseek-ai/deepseek-llm-67b-chat,blackwell,8,1048576,Sparse,,3398.2,0.1,,,INFEASIBLE,
deepseek-ai/deepseek-llm-67b-chat,blackwell,16,524288,Dense,,3398.2,1.0,,,INFEASIBLE,
deepseek-ai/deepseek-llm-67b-chat,blackwell,16,524288,Sparse,,3398.2,0.1,,,INFEASIBLE,
deepseek-ai/deepseek-llm-67b-chat,blackwell,16,1048576,Dense,,6662.4,1.0,,,INFEASIBLE,
deepseek-ai/deepseek-llm-67b-chat,blackwell,16,1048576,Sparse,,6662.4,0.1,,,INFEASIBLE,
deepseek-ai/deepseek-llm-67b-chat,blackwell,32,262144,Dense,,3398.2,1.0,,,INFEASIBLE,
deepseek-ai/deepseek-llm-67b-chat,blackwell,32,262144,Sparse,,3398.2,0.1,,,INFEASIBLE,
deepseek-ai/deepseek-llm-67b-chat,blackwell,32,524288,Dense,,6662.4,1.0,,,INFEASIBLE,
deepseek-ai/deepseek-llm-67b-chat,blackwell,32,524288,Sparse,,6662.4,0.1,,,INFEASIBLE,
deepseek-ai/deepseek-llm-67b-chat,blackwell,32,1048576,Dense,,13190.7,1.0,,,INFEASIBLE,
deepseek-ai/deepseek-llm-67b-chat,blackwell,32,1048576,Sparse,,13190.7,0.1,,,INFEASIBLE,
deepseek-ai/deepseek-llm-67b-chat,blackwell,64,131072,Dense,,3398.2,1.0,,,INFEASIBLE,
deepseek-ai/deepseek-llm-67b-chat,blackwell,64,131072,Sparse,,3398.2,0.1,,,INFEASIBLE,
deepseek-ai/deepseek-llm-67b-chat,blackwell,64,262144,Dense,,6662.4,1.0,,,INFEASIBLE,
deepseek-ai/deepseek-llm-67b-chat,blackwell,64,262144,Sparse,,6662.4,0.1,,,INFEASIBLE,
deepseek-ai/deepseek-llm-67b-chat,blackwell,64,524288,Dense,,13190.7,1.0,,,INFEASIBLE,
deepseek-ai/deepseek-llm-67b-chat,blackwell,64,524288,Sparse,,13190.7,0.1,,,INFEASIBLE,
deepseek-ai/deepseek-llm-67b-chat,blackwell,64,1048576,Dense,,26247.4,1.0,,,INFEASIBLE,
deepseek-ai/deepseek-llm-67b-chat,blackwell,64,1048576,Sparse,,26247.4,0.1,,,INFEASIBLE,
deepseek-ai/deepseek-llm-67b-chat,blackwell,128,65536,Dense,,3398.2,1.0,,,INFEASIBLE,
deepseek-ai/deepseek-llm-67b-chat,blackwell,128,65536,Sparse,,3398.2,0.1,,,INFEASIBLE,
deepseek-ai/deepseek-llm-67b-chat,blackwell,128,131072,Dense,,6662.4,1.0,,,INFEASIBLE,
deepseek-ai/deepseek-llm-67b-chat,blackwell,128,131072,Sparse,,6662.4,0.1,,,INFEASIBLE,
deepseek-ai/deepseek-llm-67b-chat,blackwell,128,262144,Dense,,13190.7,1.0,,,INFEASIBLE,
deepseek-ai/deepseek-llm-67b-chat,blackwell,128,262144,Sparse,,13190.7,0.1,,,INFEASIBLE,
deepseek-ai/deepseek-llm-67b-chat,blackwell,128,524288,Dense,,26247.4,1.0,,,INFEASIBLE,
deepseek-ai/deepseek-llm-67b-chat,blackwell,128,524288,Sparse,,26247.4,0.1,,,INFEASIBLE,
deepseek-ai/deepseek-llm-67b-chat,blackwell,128,1048576,Dense,,52360.8,1.0,,,INFEASIBLE,
deepseek-ai/deepseek-llm-67b-chat,blackwell,128,1048576,Sparse,,52360.8,0.1,,,INFEASIBLE,
meta-llama/Meta-Llama-3-70B,blackwell,8,1048576,Dense,,2890.0,1.0,,,INFEASIBLE,
meta-llama/Meta-Llama-3-70B,blackwell,8,1048576,Sparse,,2890.0,0.1,,,INFEASIBLE,
meta-llama/Meta-Llama-3-70B,blackwell,16,524288,Dense,,2890.0,1.0,,,INFEASIBLE,
meta-llama/Meta-Llama-3-70B,blackwell,16,524288,Sparse,,2890.0,0.1,,,INFEASIBLE,
meta-llama/Meta-Llama-3-70B,blackwell,16,1048576,Dense,,5638.8,1.0,,,INFEASIBLE,
meta-llama/Meta-Llama-3-70B,blackwell,16,1048576,Sparse,,5638.8,0.1,,,INFEASIBLE,
meta-llama/Meta-Llama-3-70B,blackwell,32,262144,Dense,,2890.0,1.0,,,INFEASIBLE,
meta-llama/Meta-Llama-3-70B,blackwell,32,262144,Sparse,,2890.0,0.1,,,INFEASIBLE,
meta-llama/Meta-Llama-3-70B,blackwell,32,524288,Dense,,5638.8,1.0,,,INFEASIBLE,
meta-llama/Meta-Llama-3-70B,blackwell,32,524288,Sparse,,5638.8,0.1,,,INFEASIBLE,
meta-llama/Meta-Llama-3-70B,blackwell,32,1048576,Dense,,11136.3,1.0,,,INFEASIBLE,
meta-llama/Meta-Llama-3-70B,blackwell,32,1048576,Sparse,,11136.3,0.1,,,INFEASIBLE,
meta-llama/Meta-Llama-3-70B,blackwell,64,131072,Dense,,2890.0,1.0,,,INFEASIBLE,
meta-llama/Meta-Llama-3-70B,blackwell,64,131072,Sparse,,2890.0,0.1,,,INFEASIBLE,
meta-llama/Meta-Llama-3-70B,blackwell,64,262144,Dense,,5638.8,1.0,,,INFEASIBLE,
meta-llama/Meta-Llama-3-70B,blackwell,64,262144,Sparse,,5638.8,0.1,,,INFEASIBLE,
meta-llama/Meta-Llama-3-70B,blackwell,64,524288,Dense,,11136.3,1.0,,,INFEASIBLE,
meta-llama/Meta-Llama-3-70B,blackwell,64,524288,Sparse,,11136.3,0.1,,,INFEASIBLE,
meta-llama/Meta-Llama-3-70B,blackwell,64,1048576,Dense,,22131.4,1.0,,,INFEASIBLE,
