store,context_length,batch,tp,hbm_kv_fraction,sparsity,backing_bw,tpot_ms,throughput_tok_s,status
HBF,4096,8,1,1.0000,1.0,8000,37.6468,212.5012,OK
HBF,8192,8,1,1.0000,1.0,8000,38.9890,205.1860,OK
HBF,16384,8,1,1.0000,1.0,8000,41.6734,191.9691,OK
HBF,32768,8,1,0.5448,1.0,8000,47.0421,170.0605,OK
HBF,65536,8,1,0.2724,1.0,8000,57.7795,138.4574,OK
HBF,98304,8,1,0.1816,1.0,8000,68.5169,116.7595,OK
HBF,131072,8,1,0.1362,1.0,8000,79.2543,100.9408,OK
HBF,196608,8,1,0.0908,1.0,8000,100.7292,79.4209,OK
HBF,262144,8,1,0.0681,1.0,8000,122.2040,65.4643,OK
HBF,393216,8,1,0.0454,1.0,8000,165.1537,48.4397,OK
HBF,524288,8,1,0.0341,1.0,8000,208.1034,38.4424,OK
HBF,786432,8,1,0.0227,1.0,8000,294.0027,27.2106,OK
HBF,1048576,8,1,0.0170,1.0,8000,379.9020,21.0581,OK
HBF+SPLASH,4096,8,1,1.0000,0.1,8000,37.6468,212.5012,OK
HBF+SPLASH,8192,8,1,1.0000,0.1,8000,38.9890,205.1860,OK
HBF+SPLASH,16384,8,1,1.0000,0.1,8000,41.6734,191.9691,OK
HBF+SPLASH,32768,8,1,0.5448,0.1,8000,42.6418,187.6091,OK
HBF+SPLASH,65536,8,1,0.2724,0.1,8000,43.7149,183.0042,OK
HBF+SPLASH,98304,8,1,0.1816,0.1,8000,44.7882,178.6187,OK
HBF+SPLASH,131072,8,1,0.1362,0.1,8000,45.8616,174.4379,OK
HBF+SPLASH,196608,8,1,0.0908,0.1,8000,48.0088,166.6362,OK
HBF+SPLASH,262144,8,1,0.0681,0.1,8000,50.1563,159.5015,OK
HBF+SPLASH,393216,8,1,0.0454,0.1,8000,54.4512,146.9204,OK
HBF+SPLASH,524288,8,1,0.0341,0.1,8000,58.7462,136.1790,OK
HBF+SPLASH,786432,8,1,0.0227,0.1,8000,67.3361,118.8069,OK
HBF+SPLASH,1048576,8,1,0.0170,0.1,8000,75.9262,105.3654,OK
HBM-only,4096,8,1,1.0000,1.0,8000,37.6468,212.5012,OK
HBM-only,8192,8,1,1.0000,1.0,8000,38.9890,205.1860,OK
HBM-only,16384,8,1,1.0000,1.0,8000,41.6734,191.9691,OK
HBM-only,32768,8,2,1.0000,1.0,8000,39.2324,203.9132,OK
HBM-only,65536,8,2,1.0000,1.0,8000,44.6011,179.3678,OK
HBM-only,98304,8,4,1.0000,1.0,8000,39.3205,203.4564,OK
HBM-only,131072,8,4,1.0000,1.0,8000,42.0048,190.4543,OK
HBM-only,196608,8,4,1.0000,1.0,8000,47.3735,168.8707,OK
HBM-only,262144,8,8,1.0000,1.0,8000,39.6380,201.8264,OK
HBM-only,393216,8,8,1.0000,1.0,8000,45.0067,177.7512,OK
HBM-only,524288,8,8,1.0000,1.0,8000,50.3754,158.8075,OK
HBM-only,786432,8,16,1.0000,1.0,8000,44.2150,180.9340,OK
HBM-only,1048576,8,16,1.0000,1.0,8000,51.9574,153.9724,OK
