model,device,ctx_K,batch,dense_tpot_p50_ms,dense_tpot_p99_ms,sparse_tpot_p50_ms,sparse_tpot_p99_ms,speedup_dense_over_sparse,dense_hbf_stall_ms,sparse_hbf_stall_ms,dense_throughput_tok_s,sparse_throughput_tok_s
CodeLlama-34b-Instruct-hf,a100,4,4,94.79,106.55,94.67,106.41,1.001,0.0,0.0,75.26,75.36
CodeLlama-34b-Instruct-hf,a100,4,8,61.33,61.33,61.32,61.32,1.0,0.0,0.0,130.98,131.01
CodeLlama-34b-Instruct-hf,a100,4,16,61.32,61.32,61.32,61.32,1.0,0.0,0.0,131.0,131.0
CodeLlama-34b-Instruct-hf,a100,4,32,61.33,61.33,61.32,61.32,1.0,0.0,0.0,130.99,131.0
CodeLlama-34b-Instruct-hf,a100,4,64,61.33,61.33,61.33,61.33,1.0,0.0,0.0,130.99,130.99
CodeLlama-34b-Instruct-hf,a100,4,128,61.33,61.33,61.33,61.33,1.0,0.0,0.0,130.99,130.99
CodeLlama-34b-Instruct-hf,a100,8,4,94.73,106.48,94.73,106.48,1.0,0.0,0.0,75.31,75.31
CodeLlama-34b-Instruct-hf,a100,8,8,61.32,61.32,61.32,61.32,1.0,0.0,0.0,131.0,131.0
CodeLlama-34b-Instruct-hf,a100,8,16,61.32,61.32,61.32,61.32,1.0,0.0,0.0,131.0,131.0
CodeLlama-34b-Instruct-hf,a100,8,32,61.32,61.32,61.32,61.32,1.0,0.0,0.0,131.0,131.0
CodeLlama-34b-Instruct-hf,a100,8,64,61.32,61.32,61.32,61.32,1.0,0.0,0.0,131.0,131.0
CodeLlama-34b-Instruct-hf,a100,8,128,61.32,61.32,61.32,61.32,1.0,0.0,0.0,131.0,131.0
CodeLlama-34b-Instruct-hf,a100,16,4,94.73,106.48,94.73,106.48,1.0,0.0,0.0,75.31,75.31
CodeLlama-34b-Instruct-hf,a100,16,8,61.32,61.32,61.32,61.32,1.0,0.0,0.0,131.0,131.0
CodeLlama-34b-Instruct-hf,a100,16,16,61.32,61.32,61.32,61.32,1.0,0.0,0.0,131.0,131.0
CodeLlama-34b-Instruct-hf,a100,16,32,61.32,61.32,61.32,61.32,1.0,0.0,0.0,131.0,131.0
CodeLlama-34b-Instruct-hf,a100,16,64,61.32,61.32,61.32,61.32,1.0,0.0,0.0,131.0,131.0
CodeLlama-34b-Instruct-hf,a100,16,128,61.32,61.32,61.32,61.32,1.0,0.0,0.0,131.0,131.0
CodeLlama-34b-Instruct-hf,a100,32,4,94.73,106.48,94.73,106.48,1.0,0.0,0.0,75.31,75.31
CodeLlama-34b-Instruct-hf,a100,32,8,76.67,76.67,61.32,61.32,1.25,61.39,0.0,104.69,131.0
CodeLlama-34b-Instruct-hf,a100,32,16,76.67,76.67,61.32,61.32,1.25,61.39,0.0,104.69,131.0
CodeLlama-34b-Instruct-hf,a100,32,32,76.67,76.67,61.32,61.32,1.25,61.39,0.0,104.69,131.0
CodeLlama-34b-Instruct-hf,a100,32,64,76.67,76.67,61.32,61.32,1.25,61.39,0.0,104.69,131.0
