model,device,ctx_K,batch,dense_tpot_p50_ms,dense_tpot_p99_ms,sparse_tpot_p50_ms,sparse_tpot_p99_ms,speedup_dense_over_sparse,dense_hbf_stall_ms,sparse_hbf_stall_ms,dense_throughput_tok_s,sparse_throughput_tok_s,source
CodeLlama-34b-Instruct-hf,a100,4,4,94.79,106.55,94.67,106.41,1.001,0.0,0.0,75.26,75.36,simulated
CodeLlama-34b-Instruct-hf,a100,4,8,61.33,61.33,61.32,61.32,1.0,0.0,0.0,130.98,131.01,simulated
CodeLlama-34b-Instruct-hf,a100,4,16,61.32,61.32,61.32,61.32,1.0,0.0,0.0,131.0,131.0,simulated
CodeLlama-34b-Instruct-hf,a100,4,32,61.33,61.33,61.32,61.32,1.0,0.0,0.0,130.99,131.0,simulated
CodeLlama-34b-Instruct-hf,a100,4,64,61.33,61.33,61.33,61.33,1.0,0.0,0.0,130.99,130.99,simulated
CodeLlama-34b-Instruct-hf,a100,4,128,61.33,61.33,61.33,61.33,1.0,0.0,0.0,130.99,130.99,simulated
CodeLlama-34b-Instruct-hf,a100,8,4,94.73,106.48,94.73,106.48,1.0,0.0,0.0,75.31,75.31,simulated
CodeLlama-34b-Instruct-hf,a100,8,8,61.32,61.32,61.32,61.32,1.0,0.0,0.0,131.0,131.0,simulated
CodeLlama-34b-Instruct-hf,a100,8,16,61.32,61.32,61.32,61.32,1.0,0.0,0.0,131.0,131.0,simulated
CodeLlama-34b-Instruct-hf,a100,8,32,61.32,61.32,61.32,61.32,1.0,0.0,0.0,131.0,131.0,simulated
CodeLlama-34b-Instruct-hf,a100,8,64,61.32,61.32,61.32,61.32,1.0,0.0,0.0,131.0,131.0,simulated
CodeLlama-34b-Instruct-hf,a100,8,128,61.32,61.32,61.32,61.32,1.0,0.0,0.0,131.0,131.0,simulated
CodeLlama-34b-Instruct-hf,a100,16,4,94.73,106.48,94.73,106.48,1.0,0.0,0.0,75.31,75.31,simulated
CodeLlama-34b-Instruct-hf,a100,16,8,61.32,61.32,61.32,61.32,1.0,0.0,0.0,131.0,131.0,simulated
CodeLlama-34b-Instruct-hf,a100,16,16,61.32,61.32,61.32,61.32,1.0,0.0,0.0,131.0,131.0,simulated
CodeLlama-34b-Instruct-hf,a100,16,32,61.32,61.32,61.32,61.32,1.0,0.0,0.0,131.0,131.0,simulated
CodeLlama-34b-Instruct-hf,a100,16,64,61.32,61.32,61.32,61.32,1.0,0.0,0.0,131.0,131.0,simulated
CodeLlama-34b-Instruct-hf,a100,16,128,61.32,61.32,61.32,61.32,1.0,0.0,0.0,131.0,131.0,simulated
CodeLlama-34b-Instruct-hf,a100,32,4,94.73,106.48,94.73,106.48,1.0,0.0,0.0,75.31,75.31,simulated
CodeLlama-34b-Instruct-hf,a100,32,8,76.67,76.67,61.32,61.32,1.25,61.39,0.0,104.69,131.0,simulated
CodeLlama-34b-Instruct-hf,a100,32,16,76.67,76.67,61.32,61.32,1.25,61.39,0.0,104.69,131.0,simulated
CodeLlama-34b-Instruct-hf,a100,32,32,76.67,76.67,61.32,61.32,1.25,61.39,0.0,104.69,131.0,simulated
CodeLlama-34b-Instruct-hf,a100,32,64,76.67,76.67,61.32,61.32,1.25,61.39,0.0,104.69,131.0,simulated
CodeLlama-34b-Instruct-hf,a100,32,128,61.3200,61.3200,61.3200,61.3200,1.0000,0.0000,0.0000,2087.41,2087.41,analytical
CodeLlama-34b-Instruct-hf,a100,64,4,129.11,141.69,94.73,106.48,1.363,140.84,0.0,56.56,75.31,simulated
CodeLlama-34b-Instruct-hf,a100,64,8,141.68,141.68,61.32,61.32,2.311,321.44,0.0,56.57,131.0,simulated
CodeLlama-34b-Instruct-hf,a100,64,16,141.68,141.68,61.32,61.32,2.311,321.44,0.0,56.57,131.0,simulated
CodeLlama-34b-Instruct-hf,a100,64,32,141.68,141.68,61.32,61.32,2.311,321.44,0.0,56.57,131.0,simulated
CodeLlama-34b-Instruct-hf,a100,64,64,92.9451,92.9451,61.3200,61.3200,1.5157,31.6251,0.0000,688.58,1043.71,analytical
CodeLlama-34b-Instruct-hf,a100,64,128,61.3200,61.3200,61.3200,61.3200,1.0000,0.0000,0.0000,2087.41,2087.41,analytical
CodeLlama-34b-Instruct-hf,a100,128,4,246.55,271.72,94.73,106.48,2.603,660.94,0.0,29.47,75.31,simulated
CodeLlama-34b-Instruct-hf,a100,128,8,271.71,271.71,61.32,61.32,4.431,841.53,0.0,29.47,131.0,simulated
CodeLlama-34b-Instruct-hf,a100,128,16,271.71,271.71,61.32,61.32,4.431,841.53,0.0,29.47,131.0,simulated
