model,device,baseline,context_length,batch_size,kv_read_fraction,ttft_p50_ms,ttft_p99_ms,tpot_p50_ms,tpot_p99_ms,throughput_tok_s,hbf_stall_ms,status,wall_s
Qwen/Qwen-72B,a100,Dense,4096,16,1.0,N/A,N/A,N/A,N/A,N/A,N/A,TIMEOUT>600s,>600
Qwen/Qwen-72B,a100,NaiveSparse,4096,16,1.0,N/A,N/A,N/A,N/A,N/A,N/A,TIMEOUT>600s,>600
Qwen/Qwen-72B,a100,Sparse,4096,32,0.1,N/A,N/A,N/A,N/A,N/A,N/A,TIMEOUT>600s,>600
Qwen/Qwen-72B,a100,Dense,4096,4,1.0,N/A,N/A,N/A,N/A,N/A,N/A,TIMEOUT>600s,>600
Qwen/Qwen-72B,a100,NaiveSparse,4096,4,1.0,N/A,N/A,N/A,N/A,N/A,N/A,TIMEOUT>600s,>600
Qwen/Qwen-72B,a100,Sparse,4096,4,0.1,N/A,N/A,N/A,N/A,N/A,N/A,TIMEOUT>600s,>600
Qwen/Qwen-72B,a100,Dense,4096,8,1.0,N/A,N/A,N/A,N/A,N/A,N/A,TIMEOUT>600s,>600
Qwen/Qwen-72B,a100,NaiveSparse,4096,8,1.0,N/A,N/A,N/A,N/A,N/A,N/A,TIMEOUT>600s,>600
Qwen/Qwen-72B,a100,Dense,4096,32,1.0,N/A,N/A,N/A,N/A,N/A,N/A,TIMEOUT>600s,>600
Qwen/Qwen-72B,a100,NaiveSparse,4096,32,1.0,N/A,N/A,N/A,N/A,N/A,N/A,TIMEOUT>600s,>600
Qwen/Qwen-72B,a100,Sparse,4096,8,0.1,N/A,N/A,N/A,N/A,N/A,N/A,TIMEOUT>600s,>600
Qwen/Qwen-72B,a100,Sparse,4096,16,0.1,N/A,N/A,N/A,N/A,N/A,N/A,TIMEOUT>600s,>600
Qwen/Qwen-72B,a100,Sparse,8192,8,0.1,-1.62,-1.02,168.94,168.94,47.42,0.00,OK,192.0
Qwen/Qwen-72B,a100,Dense,8192,8,1.0,-1.62,-1.02,242.36,242.36,33.04,293.61,OK,251.5
Qwen/Qwen-72B,a100,NaiveSparse,8192,8,1.0,-1.62,-1.02,242.36,242.36,33.04,293.61,OK,251.5
