model,system,tp,tpot_mean,tpot_p99,thr_mean,thr_p99,feasible
DeepSeek-67B,Dense,8,236.904,238.664,16.884,16.760,1
DeepSeek-67B,HBM-only,,,,,,0
DeepSeek-67B,Naive,8,157.338,158.491,25.423,25.238,1
DeepSeek-67B,Sparse,8,73.802,74.317,54.199,53.823,1
Llama-3-70B,Dense,8,199.627,201.110,20.037,19.890,1
Llama-3-70B,HBM-only,,,,,,0
Llama-3-70B,Naive,8,130.425,131.380,30.669,30.446,1
Llama-3-70B,Sparse,8,65.100,71.380,61.444,56.038,1
Llama-3-8B,Dense,8,76.896,83.031,52.019,48.175,1
Llama-3-8B,HBM-only,,,,,,0
Llama-3-8B,Naive,8,42.108,45.662,94.993,87.600,1
Llama-3-8B,Sparse,8,38.799,42.107,103.095,94.995,1
Mixtral-8x7B,Dense,8,76.888,83.023,52.024,48.179,1
Mixtral-8x7B,HBM-only,,,,,,0
Mixtral-8x7B,Naive,8,42.386,45.960,94.371,87.032,1
Mixtral-8x7B,Sparse,8,37.779,41.012,105.878,97.533,1
Qwen3-235B,Dense,4,233.722,235.458,34.229,33.976,1
Qwen3-235B,HBM-only,,,,,,0
Qwen3-235B,Naive,4,163.317,164.517,48.984,48.627,1
Qwen3-235B,Sparse,4,61.289,61.710,130.530,129.638,1
