model,device,batch,context_length,baseline,tp,footprint_gb,sparsity_fraction,tpot_p50_ms,tpot_p99_ms,status,wall_s
meta-llama/Meta-Llama-3-8B,blackwell,1,131072,Dense,1,33.2,1.0,8.524091060941986,8.524091060941986,OK,14.3
meta-llama/Meta-Llama-3-8B,blackwell,1,131072,Dense,2,33.2,1.0,9.344967731578851,9.344967731578851,OK,14.4
meta-llama/Meta-Llama-3-8B,blackwell,1,131072,Dense,4,33.2,1.0,9.938725518699924,9.938725518699924,OK,14.0
meta-llama/Meta-Llama-3-8B,blackwell,1,131072,Dense,8,33.2,1.0,9.841204138661825,9.841204138661825,OK,14.2
meta-llama/Meta-Llama-3-8B,blackwell,1,196608,Dense,1,41.8,1.0,9.597832884941988,9.597832884941988,OK,14.5
meta-llama/Meta-Llama-3-8B,blackwell,1,262144,Dense,1,50.4,1.0,10.671574708941986,10.671574708941986,OK,14.7
meta-llama/Meta-Llama-3-8B,blackwell,1,262144,Dense,2,50.4,1.0,10.418709555578848,10.418709555578848,OK,14.7
meta-llama/Meta-Llama-3-8B,blackwell,1,262144,Dense,4,50.4,1.0,10.475596430699923,10.475596430699923,OK,14.9
meta-llama/Meta-Llama-3-8B,blackwell,1,262144,Dense,8,50.4,1.0,10.109639594661823,10.109639594661823,OK,14.8
meta-llama/Meta-Llama-3-8B,blackwell,1,196608,Dense,2,41.8,1.0,9.88183864357885,9.88183864357885,OK,63.5
meta-llama/Meta-Llama-3-8B,blackwell,1,196608,Dense,8,41.8,1.0,9.975421866661824,9.975421866661824,OK,63.9
meta-llama/Meta-Llama-3-8B,blackwell,1,393216,Dense,1,67.6,1.0,12.819058356941985,12.819058356941985,OK,16.0
meta-llama/Meta-Llama-3-8B,blackwell,1,196608,Dense,4,41.8,1.0,10.207160974699924,10.207160974699924,OK,100.2
meta-llama/Meta-Llama-3-8B,blackwell,1,524288,Dense,1,84.8,1.0,14.966542004941985,14.966542004941985,OK,17.0
meta-llama/Meta-Llama-3-8B,blackwell,1,524288,Dense,2,84.8,1.0,12.566193203578852,12.566193203578852,OK,17.4
meta-llama/Meta-Llama-3-8B,blackwell,1,524288,Dense,4,84.8,1.0,11.549338254699924,11.549338254699924,OK,17.1
meta-llama/Meta-Llama-3-8B,blackwell,1,524288,Dense,8,84.8,1.0,10.646510506661823,10.646510506661823,OK,17.1
meta-llama/Meta-Llama-3-8B,blackwell,1,393216,Dense,8,67.6,1.0,10.378075050661824,10.378075050661824,OK,72.6
meta-llama/Meta-Llama-3-8B,blackwell,1,786432,Dense,1,119.1,1.0,19.261509300941988,19.261509300941988,OK,19.3
meta-llama/Meta-Llama-3-8B,blackwell,1,393216,Dense,2,67.6,1.0,11.492451379578851,11.492451379578851,OK,107.0
